department,telecommuting,has_company_logo,has_questions,employment_type,industry,function,fraudulent,Country,len_profile,len_description,requirement_is_existed
etc,0,1,0,Full-time,Computer Software,Marketing,0,US,420,905,True
etc,0,1,1,Full-time,Information Technology and Services,Design,0,US,660,574,True
etc,0,1,1,Contract,Education Management,Education,0,US,53,247,True
Service,0,1,1,Full-time,Food Production,Supply Chain,0,US,958,1577,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,0,Full-time,Hospital & Health Care,Customer Service,0,US,684,1286,True
etc,0,0,0,,,,0,US,0,1710,False
etc,0,1,1,Full-time,Computer Software,Engineering,0,NZ,1070,219,False
Engineering,0,1,1,,,,0,GR,554,236,False
etc,0,0,0,Full-time,,,0,US,228,729,False
etc,0,0,0,Full-time,,,0,US,228,2601,False
IT,0,0,1,Contract,,Information Technology,0,US,0,251,False
Marketing,0,1,0,,,Marketing,0,GB,228,513,False
etc,0,1,1,Full-time,Banking,Customer Service,0,US,651,620,True
etc,0,1,0,Part-time,Financial Services,Customer Service,0,US,684,1221,True
etc,0,0,0,Full-time,"Health, Wellness and Fitness",,0,AE,0,240,False
etc,0,1,0,Part-time,Insurance,Administrative,0,US,684,1092,True
Engineering,0,1,1,Full-time,E-Learning,Engineering,0,DE,651,1863,True
etc,0,1,1,Full-time,Hospital & Health Care,Health Care Provider,0,US,1628,1919,True
etc,0,0,0,Full-time,Computer Software,Information Technology,0,US,0,2011,True
etc,1,0,0,Full-time,Banking,Business Development,0,US,335,6070,True
etc,0,1,1,Full-time,Information Technology and Services,Product Management,0,NZ,615,1097,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,0,Full-time,Financial Services,Customer Service,0,US,684,1906,True
etc,0,1,1,Temporary,Cosmetics,Sales,0,GB,829,855,True
etc,0,1,0,Full-time,Consumer Services,Customer Service,0,US,684,1195,True
etc,0,1,0,Part-time,Facilities Services,Customer Service,0,US,684,1190,True
etc,0,1,1,Full-time,Financial Services,Financial Analyst,0,US,1113,1810,True
etc,0,1,0,Full-time,Hospital & Health Care,Administrative,0,US,684,1441,True
etc,0,1,0,Full-time,Insurance,Customer Service,0,US,684,1457,True
Development,0,1,1,,,,0,GR,1820,2524,False
etc,0,1,1,Contract,Education Management,,0,CA,53,381,True
Marketing,0,1,0,Full-time,Marketing and Advertising,Marketing,0,US,410,1538,True
etc,0,1,0,Full-time,Staffing and Recruiting,Consulting,0,GB,1467,428,False
etc,1,0,0,Full-time,Consumer Services,Human Resources,0,US,0,2028,True
etc,0,1,0,Full-time,Financial Services,Administrative,0,US,684,891,True
etc,0,1,1,Full-time,,Administrative,0,GB,829,724,True
Marketing,0,1,0,Full-time,Internet,Marketing,0,US,536,1417,True
etc,0,1,0,Full-time,Financial Services,Information Technology,0,GB,827,490,True
etc,0,1,0,Full-time,Consumer Services,Customer Service,0,US,684,997,True
etc,0,1,1,Full-time,Oil & Energy,Other,1,US,1016,2245,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,0,,,,0,US,0,689,False
etc,0,1,1,Contract,Education Management,,0,CA,53,381,True
etc,1,1,0,Full-time,Internet,Marketing,0,GB,55,510,True
etc,0,1,0,Full-time,Financial Services,Customer Service,0,US,684,1220,True
etc,0,0,0,,,,0,US,0,394,False
Service,1,1,1,Full-time,Internet,Information Technology,0,US,966,4687,True
etc,0,1,1,Full-time,,,0,GB,829,602,True
etc,0,1,0,Full-time,Venture Capital & Private Equity,Information Technology,0,GB,673,1692,True
Service,0,0,1,Full-time,Computer Software,Project Management,0,US,0,2465,True
etc,0,1,0,Full-time,Management Consulting,Management,0,US,684,3218,True
etc,0,1,0,Full-time,Hospital & Health Care,Customer Service,0,US,684,1257,True
etc,0,1,0,Part-time,Hospital & Health Care,Customer Service,0,US,684,1243,True
etc,0,1,0,Part-time,Insurance,Customer Service,0,US,684,1278,True
Operations,0,1,0,Full-time,"Leisure, Travel & Tourism",Management,0,GB,627,981,True
Sales,1,1,0,,,Sales,0,US,2270,555,False
etc,0,1,1,,Human Resources,Human Resources,0,GB,829,578,True
etc,0,1,1,Full-time,Internet,Administrative,0,US,1208,1750,True
etc,0,1,1,,,,0,US,672,396,False
etc,0,1,0,Full-time,Computer Software,,0,US,1317,668,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,0,Full-time,Consumer Services,Administrative,0,US,684,2138,True
etc,0,1,1,Full-time,,,0,DE,134,755,False
etc,0,1,1,Contract,Education Management,,0,CA,53,381,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,0,Part-time,Education Management,Customer Service,0,US,684,1119,True
etc,0,1,1,Full-time,Marketing and Advertising,Marketing,0,US,748,634,True
etc,0,1,0,Full-time,Internet,,0,GR,1562,817,True
Sales,0,1,1,Full-time,Pharmaceuticals,Sales,0,US,1341,859,True
etc,0,1,1,Temporary,Farming,,0,US,789,934,True
etc,0,1,0,Full-time,Telecommunications,Customer Service,0,US,684,1992,True
etc,0,1,0,Full-time,Insurance,Customer Service,0,US,684,1092,True
etc,0,1,1,Temporary,Cosmetics,Sales,0,GB,829,855,True
etc,0,1,0,Full-time,Computer Software,Design,0,GB,211,425,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
Sales,0,1,0,Full-time,Financial Services,Sales,0,GB,694,1507,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,0,Full-time,Telecommunications,Customer Service,0,US,684,911,True
etc,0,1,1,,,,0,DE,380,356,False
etc,0,1,0,Full-time,Financial Services,Customer Service,0,US,684,1900,True
etc,0,1,0,Full-time,Facilities Services,Customer Service,0,US,684,1219,True
etc,0,1,1,Contract,Education Management,,0,US,53,380,True
etc,0,1,0,Full-time,Legal Services,Customer Service,0,US,684,1268,True
etc,0,1,0,,,,0,IL,333,806,False
etc,0,1,1,Contract,Education Management,Education,0,US,53,458,True
etc,0,0,0,,,,1,etc,0,337,False
Development,0,1,0,Full-time,Computer Software,Other,0,GR,0,1260,True
etc,0,1,0,Full-time,Telecommunications,Customer Service,0,US,684,911,True
etc,0,0,0,Full-time,,,0,US,228,871,False
Service,0,1,1,Full-time,Computer Software,,0,GR,860,835,True
Sales,0,1,0,Full-time,Computer Software,Sales,0,US,614,2600,True
etc,0,1,0,Full-time,Marketing and Advertising,Information Technology,0,US,520,976,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,0,Full-time,Luxury Goods & Jewelry,Sales,0,US,727,3368,True
Product,0,1,1,Full-time,Internet,Production,0,GB,506,1306,True
etc,0,0,0,Contract,Machinery,Production,0,US,0,1233,True
etc,0,0,0,Full-time,Real Estate,Customer Service,0,US,0,2540,True
etc,0,1,0,,,,0,US,377,48,False
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,1,0,1,Contract,,Customer Service,0,US,0,402,False
etc,0,1,1,,,,0,US,257,848,False
Operations,0,0,0,Full-time,Mechanical or Industrial Engineering,Manufacturing,0,US,517,1902,True
etc,0,0,1,Full-time,,,0,US,0,1320,True
etc,0,1,0,Full-time,Public Relations and Communications,Public Relations,0,AU,1230,1284,True
etc,0,1,0,Full-time,Consumer Services,Customer Service,0,US,684,1257,True
Marketing,0,1,0,Full-time,Telecommunications,Marketing,0,etc,1018,165,True
etc,0,1,1,Full-time,Computer Software,Marketing,0,GB,406,2637,True
Sales,0,0,0,Full-time,Consumer Goods,Sales,0,GR,0,615,True
etc,0,0,0,Full-time,Financial Services,Sales,0,US,0,2474,True
etc,0,1,0,Full-time,Marketing and Advertising,Administrative,0,GR,391,1212,True
etc,0,1,0,Full-time,Financial Services,Customer Service,0,US,684,947,True
etc,0,1,1,Full-time,,,0,DE,134,637,False
Technology,0,1,0,Full-time,Marketing and Advertising,Information Technology,0,GB,2419,1298,True
etc,0,1,0,Full-time,Medical Practice,,0,AU,2438,101,True
etc,0,1,1,Full-time,Electrical/Electronic Manufacturing,Other,1,US,776,4447,True
etc,0,1,1,Full-time,Cosmetics,Sales,0,US,829,1020,True
etc,0,1,0,Part-time,Financial Services,Administrative,0,US,684,1190,True
etc,0,1,1,Contract,Education Management,,0,US,53,384,True
etc,0,1,1,Other,Financial Services,,0,US,364,1135,True
Service,0,1,1,Full-time,Marketing and Advertising,Strategy/Planning,0,US,592,1078,True
etc,0,1,1,Full-time,Information Technology and Services,Human Resources,0,GB,79,68,True
Sales,0,0,0,,,Sales,1,etc,0,15,False
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,1,Full-time,Oil & Energy,Engineering,0,US,879,1409,False
etc,0,0,0,Full-time,Hospital & Health Care,Health Care Provider,0,US,0,510,True
Development,0,1,0,,,,0,GB,310,807,False
etc,0,1,0,,Cosmetics,,0,GB,829,855,False
etc,0,1,0,Full-time,Legal Services,Administrative,0,US,684,1826,True
etc,0,1,1,Part-time,Medical Practice,Other,0,US,112,358,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,0,0,Full-time,Financial Services,Sales,0,US,0,2474,True
etc,0,0,0,,,,0,US,0,572,False
etc,0,0,0,Full-time,Hospital & Health Care,Information Technology,0,US,0,3203,True
etc,0,0,1,Full-time,Hospitality,,0,GR,1521,1251,True
etc,0,1,0,,,,0,GB,1419,599,False
etc,0,1,1,Full-time,Internet,Information Technology,0,GR,870,1679,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,1,Full-time,Information Technology and Services,Information Technology,0,etc,1564,1258,True
Development,0,1,1,Full-time,Financial Services,Business Development,0,GB,694,1608,True
etc,0,1,0,,,,0,US,702,647,False
etc,0,1,1,Full-time,Marketing and Advertising,Advertising,0,NZ,1565,1295,True
etc,0,1,0,Full-time,Computer Software,Information Technology,0,etc,726,996,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,0,0,Full-time,Computer Software,Information Technology,0,US,0,474,True
etc,0,1,0,,,,0,etc,79,1285,False
etc,0,1,0,Full-time,Consumer Electronics,Customer Service,0,US,657,1435,True
etc,0,1,0,Full-time,Consumer Services,Customer Service,0,GB,607,2161,True
etc,0,1,0,Full-time,Consumer Services,Customer Service,0,US,684,1177,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,0,Full-time,Hospital & Health Care,Customer Service,0,US,684,1225,True
etc,0,1,0,Part-time,Consumer Services,Customer Service,0,US,684,1207,True
etc,0,1,0,Full-time,Telecommunications,Information Technology,0,etc,2676,1204,True
etc,0,1,0,Full-time,Consumer Services,Customer Service,0,US,684,1380,True
etc,0,1,0,Full-time,Education Management,Administrative,0,CA,684,1300,True
etc,0,0,0,,,,0,US,0,7967,False
etc,0,1,1,Full-time,Oil & Energy,Other,1,US,1016,2246,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,0,Full-time,Computer Software,Management,0,GB,438,1832,True
etc,0,1,0,Full-time,Information Technology and Services,Production,0,AU,755,2649,True
Sales,0,1,0,Full-time,Telecommunications,Sales,0,etc,1181,1238,True
etc,0,1,0,Full-time,Music,Management,0,US,684,2408,True
etc,0,1,1,Full-time,,Administrative,0,GB,829,586,True
etc,0,1,1,,,,0,etc,1369,180,False
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,0,Full-time,Education Management,Customer Service,0,US,684,1400,True
etc,0,1,0,Full-time,Financial Services,Finance,0,GB,694,710,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,0,0,Full-time,Market Research,Advertising,0,GB,0,398,True
etc,0,1,1,Full-time,Banking,Customer Service,0,US,651,607,True
etc,0,0,0,Full-time,Information Technology and Services,Information Technology,0,US,0,2057,True
etc,0,1,0,Full-time,Legal Services,Customer Service,0,US,684,1276,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,1,Full-time,,Administrative,0,GB,829,571,True
etc,0,1,0,Full-time,Internet,Information Technology,0,GB,926,2005,True
etc,0,1,1,,,,0,etc,814,432,False
etc,0,1,0,,,Sales,0,GB,829,641,True
etc,0,1,0,Contract,Information Technology and Services,Information Technology,0,US,0,6073,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,1,Full-time,Education Management,Health Care Provider,0,etc,116,717,True
etc,0,0,0,Full-time,,,0,US,228,637,False
etc,0,1,0,Full-time,Financial Services,Customer Service,0,US,684,1276,True
etc,0,1,1,Full-time,Financial Services,Finance,0,GB,694,1635,True
etc,0,0,1,Full-time,Automotive,Sales,0,GB,0,1487,True
etc,0,1,0,Contract,Education Management,,0,etc,53,332,True
etc,0,0,0,,,,0,US,0,3686,False
Development,0,1,1,Full-time,Financial Services,Business Development,0,GB,694,1603,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
Marketing,0,1,1,Full-time,Financial Services,Public Relations,0,GB,694,2031,True
etc,0,1,1,Full-time,Financial Services,Sales,0,GB,694,1768,True
etc,0,1,0,Full-time,,,0,GB,1481,1729,False
etc,0,1,0,Full-time,Information Technology and Services,Information Technology,0,NZ,244,742,False
etc,0,1,0,Full-time,Computer Software,Information Technology,0,GB,726,970,True
etc,0,0,0,Full-time,,,0,US,228,687,False
etc,0,1,0,Contract,Education Management,,0,US,53,332,True
etc,0,0,0,Full-time,,,0,US,228,874,False
etc,0,1,1,Full-time,Financial Services,Finance,0,GB,694,1244,True
Marketing,0,1,0,Full-time,Information Technology and Services,Marketing,0,US,536,1052,False
etc,0,1,0,Full-time,Internet,Administrative,0,US,0,3297,True
etc,0,1,0,Full-time,Financial Services,General Business,0,US,684,1118,True
etc,0,0,1,Full-time,Information Technology and Services,Product Management,0,US,0,1475,True
etc,0,1,1,,,Customer Service,0,GB,829,632,True
etc,0,0,1,Full-time,,Customer Service,0,US,0,673,True
etc,0,1,1,Full-time,Financial Services,Sales,0,US,131,2258,True
etc,0,1,0,Full-time,,Customer Service,0,GB,829,745,True
etc,0,0,0,Contract,Information Technology and Services,Information Technology,0,US,0,1422,True
etc,0,1,0,,,,0,US,619,1690,False
etc,0,0,0,,,,0,US,0,6571,False
etc,0,1,0,Full-time,Financial Services,Administrative,0,US,684,1219,True
etc,0,1,0,Full-time,Internet,,0,GR,0,197,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,0,,,Research,0,US,320,1527,False
etc,0,1,0,Full-time,Oil & Energy,,0,US,879,863,False
etc,0,0,0,Full-time,Marketing and Advertising,,0,US,228,568,False
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,1,Full-time,,,0,DE,134,785,False
etc,0,1,1,Full-time,Computer Software,,0,etc,1095,822,True
etc,0,1,0,Full-time,Internet,Sales,0,US,1239,2824,True
etc,0,1,1,Full-time,Internet,Information Technology,0,NZ,1970,132,True
etc,0,1,0,Contract,Education Management,,0,US,53,332,True
Sales,0,1,1,Full-time,Information Technology and Services,Sales,0,US,1194,2173,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,1,Full-time,Computer Software,Project Management,0,US,229,2378,True
etc,0,1,1,Full-time,,,0,US,746,1732,False
etc,0,1,0,Full-time,Computer Software,Sales,0,US,1239,2489,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,0,Full-time,Computer Software,Sales,0,US,1239,2543,True
etc,0,1,1,Full-time,,Administrative,0,GB,829,609,True
Product,0,1,1,Full-time,Internet,Design,0,US,1270,333,True
etc,0,1,0,,Building Materials,Sales,0,US,702,1720,False
etc,1,1,1,Other,Computer Software,Engineering,0,US,803,873,True
etc,0,1,0,,,Research,0,US,320,1356,False
etc,0,1,0,Full-time,Consumer Goods,Accounting/Auditing,0,US,1073,1539,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,0,Full-time,Financial Services,,0,US,1025,709,True
etc,0,1,1,Full-time,Philanthropy,Engineering,0,GB,1817,1185,True
etc,0,1,1,Full-time,Online Media,Art/Creative,0,GB,730,1348,True
etc,0,1,1,Full-time,,,0,DE,134,809,False
Technology,0,1,1,Full-time,Computer Software,Information Technology,0,US,717,1218,True
etc,0,1,0,Full-time,Consumer Services,Sales,0,US,558,645,True
etc,0,1,0,Part-time,Consumer Services,Customer Service,0,US,684,1221,True
etc,0,1,0,Full-time,Financial Services,,0,US,1025,950,True
etc,0,1,0,Full-time,Computer Software,,0,DE,975,430,True
etc,0,1,0,Full-time,Hospital & Health Care,,0,US,326,856,True
etc,0,0,0,Full-time,Utilities,Engineering,0,US,0,472,True
etc,0,1,0,Full-time,Legal Services,Other,0,US,684,1030,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,0,Full-time,Financial Services,Customer Service,0,US,684,1831,True
etc,0,1,1,Full-time,Hospitality,Product Management,0,DE,134,1501,True
etc,0,1,0,Contract,Banking,Information Technology,0,etc,119,695,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,0,,,,0,GB,1286,3253,False
etc,0,1,0,Part-time,Financial Services,Administrative,0,US,684,1150,True
etc,0,1,0,Full-time,Information Technology and Services,Sales,0,etc,119,610,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,0,Full-time,Telecommunications,Human Resources,0,etc,1181,2627,True
etc,0,1,1,Full-time,Information Technology and Services,Project Management,0,US,1505,3578,True
etc,0,1,1,Full-time,,Sales,0,etc,1630,4250,False
Service,0,1,1,Full-time,Internet,Consulting,0,GB,1042,1396,True
etc,0,1,1,Full-time,Online Media,Advertising,0,AU,1005,2943,True
Engineering,0,1,0,Full-time,Telecommunications,Engineering,0,GR,2676,941,True
etc,0,1,0,Full-time,Online Media,,0,GB,536,2075,True
etc,0,1,0,Full-time,"Health, Wellness and Fitness",Management,0,US,909,877,False
etc,0,1,0,Full-time,Marketing and Advertising,Quality Assurance,0,US,1271,1846,True
etc,0,1,0,Full-time,Financial Services,,0,US,422,1616,True
etc,0,1,0,Full-time,Marketing and Advertising,Strategy/Planning,0,US,1271,2024,True
etc,0,1,0,,,,0,etc,755,1194,False
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,1,Full-time,Internet,Engineering,0,GR,870,1523,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
Marketing,0,1,1,Full-time,Internet,Marketing,0,US,1270,803,True
etc,0,1,0,Contract,Education Management,,0,US,53,332,True
Service,0,1,0,,,,0,US,320,853,False
etc,1,1,1,Contract,,,0,US,1271,647,False
etc,0,1,0,Full-time,Internet,Customer Service,0,etc,624,207,True
etc,0,1,0,Full-time,Information Technology and Services,Information Technology,0,US,0,3154,True
Marketing,0,1,0,,,Marketing,0,US,320,1139,False
Sales,0,1,0,Other,Information Technology and Services,Sales,0,etc,445,1192,True
etc,0,1,0,Full-time,Legal Services,Administrative,0,US,684,770,True
etc,0,1,1,Contract,Education Management,Education,0,US,53,247,True
Service,0,1,0,,,,0,US,320,747,False
etc,0,1,1,Full-time,Marketing and Advertising,Accounting/Auditing,0,GB,2419,2840,False
etc,0,1,1,Temporary,,,0,US,1447,652,False
etc,0,1,0,Full-time,Farming,Customer Service,0,US,2559,300,True
etc,0,1,0,Full-time,Telecommunications,Quality Assurance,0,GR,742,488,True
etc,0,1,0,Contract,Education Management,,0,US,53,332,True
etc,0,1,0,Full-time,Primary/Secondary Education,Education,0,etc,116,422,True
etc,0,0,1,,,,0,CA,225,1642,False
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
Marketing,0,1,0,,,Marketing,0,DE,310,545,False
Service,0,1,0,,,,0,etc,320,722,False
etc,0,1,0,Full-time,Logistics and Supply Chain,Supply Chain,0,US,1229,3761,True
etc,0,1,1,Full-time,Design,Design,0,AU,133,901,False
Marketing,0,0,1,Full-time,Gambling & Casinos,Marketing,0,GR,0,890,True
etc,0,1,0,,,,0,etc,1208,4419,False
etc,0,0,0,Full-time,Computer Software,Information Technology,0,US,0,129,True
etc,0,1,1,Full-time,Primary/Secondary Education,Education,0,US,596,2228,True
etc,0,1,0,Full-time,Financial Services,Customer Service,0,US,684,1375,True
etc,0,0,0,Contract,Automotive,,1,US,178,151,True
etc,0,1,0,Part-time,Financial Services,Customer Service,0,US,684,1284,True
etc,0,1,0,Part-time,Accounting,Accounting/Auditing,0,CA,1398,693,False
etc,1,0,0,Part-time,,,0,US,491,1417,False
Technology,0,1,1,Full-time,Marketing and Advertising,Engineering,0,GB,2419,1143,True
etc,0,1,1,Full-time,Insurance,Consulting,0,US,1049,1854,True
Marketing,0,1,1,Full-time,"Health, Wellness and Fitness",Marketing,0,SG,882,3108,True
etc,0,1,1,,,,0,GB,672,227,False
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,1,1,1,Full-time,Information Technology and Services,Sales,0,US,1050,1174,True
etc,0,1,1,,,Administrative,0,GB,829,630,True
etc,0,0,0,Full-time,Computer Software,Engineering,0,US,0,331,True
etc,0,1,1,Full-time,Environmental Services,Project Management,0,US,1318,1460,True
etc,0,0,1,,,,0,US,0,1946,False
Marketing,0,1,1,Full-time,Internet,Marketing,0,US,842,3696,True
etc,0,1,1,Full-time,Financial Services,Consulting,0,US,1113,1772,True
etc,0,0,0,Full-time,,,0,US,536,1928,False
etc,0,0,0,Full-time,Construction,General Business,0,US,0,4808,True
etc,0,1,0,Full-time,Financial Services,Customer Service,0,US,684,1870,True
etc,0,0,0,Full-time,Financial Services,Information Technology,0,US,0,2271,True
Sales,0,1,1,Full-time,Marketing and Advertising,Design,0,US,717,1874,True
etc,0,0,1,Full-time,Mental Health Care,Information Technology,0,US,0,1675,True
etc,0,1,1,Full-time,,,0,GB,355,2286,False
etc,0,0,0,Full-time,Information Technology and Services,Information Technology,0,US,0,641,True
Product,0,1,1,Full-time,,,0,CA,538,1330,False
etc,0,0,0,Full-time,Information Technology and Services,Information Technology,0,US,0,941,True
etc,0,1,1,Full-time,Investment Management,,0,US,131,206,True
etc,0,0,0,Full-time,Marketing and Advertising,,0,US,228,648,False
IT,0,0,1,Full-time,Information Technology and Services,Information Technology,0,US,0,1161,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,1,Full-time,Information Technology and Services,Quality Assurance,0,US,536,853,True
etc,0,1,1,Full-time,,,0,AU,518,2075,False
etc,0,0,0,Full-time,Information Technology and Services,Data Analyst,0,etc,0,280,True
etc,0,1,1,Full-time,Management Consulting,Strategy/Planning,0,DE,878,1497,True
etc,0,1,0,Full-time,Facilities Services,Customer Service,0,CA,684,1071,True
etc,0,1,0,,,,0,US,816,1068,False
etc,0,1,0,Part-time,Computer Software,Administrative,0,US,684,1274,True
etc,0,1,1,Full-time,Internet,Business Analyst,0,US,1556,856,True
etc,0,0,0,Contract,,,0,US,1390,88,False
IT,0,1,0,,,,0,etc,0,734,False
etc,1,1,1,Full-time,Information Technology and Services,Engineering,0,US,254,1107,True
etc,0,1,0,Full-time,Information Technology and Services,Product Management,0,US,913,1271,True
Marketing,0,1,0,Full-time,Human Resources,Engineering,0,etc,1578,812,True
etc,0,1,0,,,,0,DE,134,720,False
etc,0,1,0,Full-time,E-Learning,Marketing,0,US,952,531,True
etc,0,1,0,Full-time,Building Materials,Sales,0,US,702,1293,False
Sales,0,1,1,Full-time,Apparel & Fashion,Sales,0,GR,0,2190,True
etc,0,1,1,Contract,Education Management,Education,0,US,53,157,True
Engineering,0,1,0,Full-time,Computer Software,Information Technology,0,US,535,1894,True
etc,0,1,0,Other,Media Production,,0,etc,1247,431,True
etc,0,1,0,,,,0,US,135,354,True
etc,0,1,0,Full-time,Financial Services,Customer Service,0,US,684,2262,True
etc,0,1,0,Full-time,Publishing,Sales,0,GB,353,1206,True
Operations,0,1,1,Full-time,Information Technology and Services,Information Technology,0,GR,758,1068,True
etc,0,1,0,,,,0,etc,1369,169,False
etc,0,0,0,,Information Technology and Services,,0,CA,0,1102,False
etc,0,1,1,Full-time,,Administrative,0,GB,829,651,True
